id,Table_Grouper,Meaning,created_at,updated_at
,49U,Subsurface raid reporting control ship,,
,50U,Surface raid reporting control ship,,
,51U,TACAN guard,,
,52U,Target ship,,
,53U,Target relay,,
,54U,Tomcat,,
,55U,Towing ship,,
,56U,Visual communication duty ship for ships alongside (or for _____),,
,57U,Visual link between ships indicated,,
,58U,Watchdog,,
,59U,Weather balloon tracking ship,,
,60U,Weather reporting ship,,
,61U,Decoy/Chaff guard ship,,
,1V,(See ASW Action Table Section 1000),,
,2V,(See Surface Action Table Section 3100),,
,3V,Aerial pickets,,
,4V,Air Search Attack Unit (ASAU),,
,5V,Aircraft,,
,6V,Aircraft carrier(s),,
,7V,(See AAW Action Table Section 2500),,
,8V,Aircraft forced down,,
,9V,(See Torpedo Action Table Section 3105),,
,10V,Aircraft on board,,
,11V,Amphibian,,
,12V,Anti-submarine patrol,,
,13V,Assault/transport helicopter,,
,14V,ASW aircraft,,
,15V,"ASWaircraft, carrier borne",,
,16V,"ASW aircraft, shore based",,
,17V,ASW dunking helicopter,,
,18V,ASW weapon carrying helicopter,,
,19V,Attacking planes,,
,20V,Automatic relay plane,,
,21V,Bombing,,
,22V,Camera observation,,
,23V,Carrier based,,
,24V,Combat air patrol (CAP),,
,25V,Communication linking,,
,26V,Depth charge alert planes,,
,27V,DASH,,
,28V,Defensive fighters,,
,29V,Dawn and dusk patrol,,
,30V,Dive bombers,,
,31V,Drone planes,,
,32V,Dumbo,,
,33V,Enemy plane,,
,34V,Experimental,,
,35V,Fighting,,
,36V,Float type,,
,37V,Gunnery sporting,,
,38V,Helicopter (s),,
,39V,Hospital,,
,40V,HS,,
,41V,HU,,
,42V,Hunter/Killer,,
,43V,Illuminating,,
,44V,Intennediate air patrol,,
,45V,Inner air patrol,,
,46V,Interceptor,,
,47V,Jet,,
,48V,Land planes,,
,49V,Low air patrol,,
,50V,Man overboard recovery helicopter,,
,51V,Maritime patrol,,
,52V,Mine laying,,
,53V,Night strike group,,
,54V,Outer air patrol,,
,55V,Observation,,
,56V,Own aircraft,,
,57V,Patrol,,
,58V,Photographic,,
,59V,Pickets,,
,60V,Pilot less planes,,
,61V,Pluto,,
,62V,Radar picket,,
,63V,Relief sporting,,
,64V,Rescue planes,,
,65V,Rocket carrying,,
,66V,Returning planes,,
,67V,Reconnaissance,,
,68V,Scouting helicopter,,
,69V,Scouts (serial),,
,70V,Seaplanes,,
,71V,Search and rescue,,
,72V,Search and rescue,,
,73V,Search helicopter,,
,74V,Search planes,,
,75V,Single engine,,
,76V,Smoking planes,,
,77V,Sporting (gunnery),,
,78V,Smoking planes,,
,79V,Strange aircraft,,
,80V,Strike aircraft,,
,81V,Strike/reconnaissance aircraft,,
,82V,Support aircraft,,
,83V,Suicide aircraft,,
,84V,Target air patrol,,
,85V,Target dawn and dusk,,
,86V,Target night patro,,
,87V,TOO (Drone),,
,88V,Torpedo,,
,89V,Transport,,
,90V,Unidentified aircraft,,
,91V,Upper air data,,
,92V,VA,,
,93V,VAW,,
,94V,VF,,
,95V,VH,,
,96V,VP,,
,97V,VR,,
,98V,VS,,
,99V,VU,,
,100V,VZ,,
,101V,Weather reconnaissance,,
,1Z,Bridge,,
,2Z,Forecastle,,
,3Z,Helo Deck,,
,4Z,Quarter Deck,,
,5Z,Midship,,
,6Z,Flag Deck,,
,7Z,ECR,,
,8Z,Communication centre,,
,9Z,Combat Information Centre,,
,10Z,Machinery Control Room,,
,11Z,Engine Room (FWD/AFT indicated following DESIG),,
,12Z,Generator Room(PORT/STBD/FWD/AFT indicated following DESIG),,
,13Z,Tiller Flat,,
,14Z,Galley,,
,15Z,Magazine (FWD/AFT indicated following DESIG),,
,16Z,Stofe room,,
,17Z,Mess (PORT/STBDIFWD/AFT indicated following DESIG),,
,18Z,Paint Store,,
,19Z,Cable Locker,,
,20Z,Living Space,,
,21Z,Pump Room,,
,22Z,Computer Room,,
,23Z,Equipment Room,,
,24Z,Ship Office,,
,25Z,Laundry,,
,26Z,Wardroom,,
,27Z,Dining Hall,,
,28Z,Captain Cabin,,
,29Z,Diving Store,,
,30Z,Provision Store,,
,31Z,Cold Room,,
,32Z,Below Water Line,,
,33Z,Above Water Line,,
,34Z,Sick Bay,,
