id,Grouper,Tack,Meaning,created_at,updated_at
,AP16,5,Advanced by (Free_Text_Tack_1 hours/Free_Text_Tack_2 minutes).,NULL,NULL
,AP18,1,Control groups,NULL,NULL
,AP18,2,Fire support groups,NULL,NULL
,AP18,3,Landing force,NULL,NULL
,AP18,4,Transports,NULL,NULL
,AP19,1,Aircraft,NULL,NULL
,AP19,2,Close support fire,NULL,NULL
,AP19,3,Counter battery fire,NULL,NULL
,AP19,4,Rocket fire,NULL,NULL
,AP19,5,Smoke,NULL,NULL
,KJ3,1,Fog in sight bearing __ (or between bearing __ and__ ) is __ miles from the OTC (or ___),NULL,NULL
,KJ3,2,Depth of fog in direction _ (or between bearings __ and __ ) is __ miles from the OTC (or __),NULL,NULL
,KJ4,1,calm,NULL,NULL
,KJ4,2,Choppy,NULL,NULL
,KJ4,3,Moderate swell,NULL,NULL
,KJ4,4,Heavy swell,NULL,NULL
,KJ4,5,Rough,NULL,NULL
,KJ4,6,Very rough,NULL,NULL
,KJ6,1,Intense,NULL,NULL
,KJ6,2,Moderate,NULL,NULL
,KJ6,3,Violent,NULL,NULL
,KJ8,1,Deteriorating,NULL,NULL
,KJ8,2,improving,NULL,NULL
,KJ8,3,not changing,NULL,NULL
,KJ9,1,Encrypted,NULL,NULL
,KJ9,2,Forecast,NULL,NULL
,KJ9,3,In international code (FM __ ),NULL,NULL
,KJ9,4,In plain language,NULL,NULL
,KJ9,5,Of surface wind observation,NULL,NULL
,KJ9,6,Of upper wind at __ thousand of fee,NULL,NULL
,KM1,1,At short stay,NULL,NULL
,KM1,2,Clear,NULL,NULL
,KM1,3,Dragging,NULL,NULL
,KM1,4,Foul,NULL,NULL
,KM1,5,Lost,NULL,NULL
,KM1,6,Recovered,NULL,NULL
,KM1,7,Slipped,NULL,NULL
,KM1,8,Ready for letting go,NULL,NULL
,KM1,9,Secured for sea,NULL,NULL
,KM2,1,At your discretion,NULL,NULL
,KM2,2,In accordance with previous instructions,NULL,NULL
,KM2,3,In any unoccupied bert,NULL,NULL
,KM2,4,In berth,NULL,NULL
,KM2,5,In berths previously assigned,NULL,NULL
,KM2,6,In berths previously occupied,NULL,NULL
,KM2,7,In formation (Number __ ) (See Article 401) for formation numbers and purpose letters,NULL,NULL
,KM2,8,In present position (or on position indicated),NULL,NULL
,KM2,9,In present sequence,NULL,NULL
,KM2,10,In succession from the rear,NULL,NULL
,KM2,11,Let go another ancho,NULL,NULL
,KM2,12,On account of fog,NULL,NULL
,KM2,13,On bearing __ (distance __ miles) from ship indicated.,NULL,NULL
,KM2,14,On line of bearing __ (distance between ships __ hundreds of yards,NULL,NULL
,KM5,1,Clay,NULL,NULL
,KM5,2,Coral,NULL,NULL
,KM5,3,Covered in weed,NULL,NULL
,KM5,4,Hard,NULL,NULL
,KM5,5,Mud,NULL,NULL
,KM5,6,Pebbles,NULL,NULL
,KM5,7,"Rock, rocky",NULL,NULL
,KM5,8,Sand,NULL,NULL
,KM5,9,Shells,NULL,NULL
,KM5,10,Soft,NULL,NULL
,KM6,1,As required,NULL,NULL
,KM6,2,To course Free_Text_Tack_1,NULL,NULL
,KM9,1,Is clear,NULL,NULL
,KM9,2,Is foul,NULL,NULL
,KM9,3,Unable to kedge off,NULL,NULL
,KM10,1,At your discretion,NULL,NULL
,KM10,2,In accordance with previous instruction,NULL,NULL
,KM10,3,In any unoccupied berth,NULL,NULL
,KM10,4,In berth __,NULL,NULL
,KM10,5,In berth previously assigned,NULL,NULL
,KM10,6,In berth previously occupied,NULL,NULL
,KM10,7,In present position (or position indicated,NULL,NULL
,KM12,1,Line of direction between anchor,NULL,NULL
,KM13,1,To ____ fathom,NULL,NULL
,KM16,1,To___fathoms,NULL,NULL
,KM16,2,To____shackles,NULL,NULL
,KM18,1,Second anchor,NULL,NULL
,KM18,2,Secure anchors,NULL,NULL
,KM29,1,Bow and stern,NULL,NULL
,KM29,2,In accordance with previous instructions,NULL,NULL
,KM29,3,To any unoccupied buoy,NULL,NULL
,KM29,4,To buoy __ .,NULL,NULL
,KM29,5,To buoy (s) previously assigned.,NULL,NULL
,KM29,6,To buoy (s) previously occupied.,NULL,NULL
,KM31,1,Berth,NULL,NULL
,KM31,2,Buoy,NULL,NULL
,KM35,1,Lead down channel,,
,KM35,2,Use swept channel,,
,KM36,1,Has been swept,,
,KM36,2,Has depth of __ fathoms,,
,KM36,3,is clear,,
,KM36,4,Is closed by boom (nets or gate),,
,KM36,5,Is obstructed,,
,KM39,1,At a distance interval of __ hundreds of yard,,
,KM39,2,At a time interval of minutes.,,
,KM40,1,At a distance interval of Free_Text_Tack_1 hundreds of yards.,,
,KM40,2,At a time interval of minutes.,,
,KM48,1,Remain at Free_Text_Tack_1 hours notice,,
,KM48,2,Remain at Free_Text_Tack_1 minutes notice,,
,KM48,3,until Free_Text_Tack_1,,
,KM48,4,until further orders,,
,KM49,1,And proceed out of port,,
,KM49,2,Form column in order of sequence number.,,
,KM49,3,Form column in squickest sequence,,
,KM49,4,In accordance with previous instruction,,
,KM49,5,Units are to proceed at Free_Text_Tack_1 minute interval,,
,KM49,6,War state,,
,KM53,1,Zero hour (time of zero hour may be indicated),,
,KM53,2,Zero hour plus __ minutes,,
,KM53,3,Zero hour minus minute,,
,KM54,1,Zero hour (time of zero hour may be indicate,,
,KM54,2,Zero hour plus ___ minute,,
,KM54,3,Zero hour minus___ minute,,
,KM56,1,Bay,,
,KM56,2,Channel,,
,KM56,3,Entrance,,
,KM56,4,Gate,,
,KM56,5,Harbour,,
,KM56,6,Port,,
,KM56,7,River,,
,KM56,8,Bridge,,
,KS2,1,Prepare to receive personnel casualties.,,
,KS2,2,Hoist Alphabet flag MIKE at yardarm when ready to receive personnel casualties.,,
,KS2,3,This unit or unit indicated has Free_Text_Tack_1 personnel casualties.,,
,KS7,1,Decontamination party,,
,KS7,2,Fire and Rescue party,,
,KS7,3,Fire Tug,,
,KS7,4,Medical,,
,KS7,5,Diving,,
,KS7,6,No assistance,,
,KS7,7,Salvage party,,
,KS7,8,Towing,,
,KS7,9,Personnel rescue,,
,KS7,10,Escort personnel,,
,KS7,11,Fleet Technical Support Team,,
,KS9,1,Cannot complete an immediate operation,,
,KS9,2,Can complete an immediate operation,,
,KS9,3,Can complete current mission,,
,KS9,4,Can undertake a subsequent operation without delay,,
,KS11,1,Bomb or missile,,
,KS11,2,Collision,,
,KS11,3,Enemy action,,
,KS11,4,Fire,,
,KS11,5,Grounding,,
,KS11,6,Heavy leakage,,
,KS11,7,Mine,,
,KS11,8,Storm,,
,KS11,9,Torpedo (side as indicated),,
,KS11,10,Underwater explosion,,
,KS13,1,Extinguished,,
,KS13,2,Increasing,,
,KS13,3,Serious,,
,KS13,4,Under control,,
,KS14,1,Increasing,,
,KS14,2,Serious,,
,KS14,3,Under control,,
,KS14,4,Slow,,
,KS14,5,Free,,
,KS14,6,Stop,,
,KS15,1,Aircraft can land.,,
,KS15,2,Aircraft can take off.,,
,KS15,3,Aircraft can take off and land with difficulty.,,
,KS15,4,Beyond repair by this ship,,
,KS15,5,Repairs can be effected by time.,,
,KS15,6,Aircraft cannot land.,,
,KS20,1,Airborne early warning aircraf,,
,KS20,2,Air intercept aircraft,,
,KS20,3,Antiair warfar,,
,KS20,4,Antiship,,
,KS20,5,Antisubmarin,,
,KS20,6,Antisubmarine fixed,,
,KS20,7,Antisubmarine helicopter,,
,KS20,8,Damage control,,
,KS20,9,ECM aircraft,,
,KS20,10,Engineering,,
,KS20,11,NBC defence,,
,KS20,12,Own aircraft,,
,KS20,13,Reconnaissance aircraf,,
,KS20,14,Strike aircraft,,
,KS29,1,Amount of __ ammunition remaining is Free_Text_Tack_1 percent,,
,KS29,2,Conserve ( ) ammunition.,,
,KS29,3,Have ( ) ammunition ready for immediate use,,
,KS29,4,Number of rounds or units of __ ammunition remaining or onboard is Free_Text_Tack_1,,
,KS31,1,Routine maintenance,,
,KS31,2,Urgent corrective maintenance,,
,KS32,1,Continuously,,
,KS32,2,Intermittently,,
,KS33,1,By ship's crew.,,
,KS33,2,Must stop for repairs.,,
,KS33,3,Only by dry docking.,,
,KS33,4,With shipyard help.,,
,KS40,1,Aviation gasoline Free_Text_Tack_1,,
,KS40,2,Bumable oil Free_Text_Tack_2,,
,KS40,3,Diesel oil Free_Text_Tack_3,,
,KS40,4,Gasoline Free_Text_Tack_4,,
,KS40,5,Lubricating oil Free_Text_Tack_5,,
,KS40,6,Water Free_Text_Tack_6,,
,KS43,1,Require tug to tow this ship or unit indicate,,
,KS43,2,Take this ship or unit indicated in tow,,
,KS43,3,This ship or unit indicated into shallow wateR,,
,KS43,4,This ship or unit indicated will take you in toW,,
,KS43,5,Transfer tow to this ship or unit indicated,,
,KS43,6,Has parted,,
,KS47,1,Ensuring safety,,
,KS47,2,Flying safety,,
,KS47,3,knots (indicated by a numeral group preceded by TACK,,
,KS47,4,Maximum fuel economy (single boiler operation pennitte),,
,KS47,5,Maximum speed,,
,KS47,6,Working cable/anchors,,
,KS48,1,Remain at Free_Text_Tack_1 hours notice,,
,KS48,2,Remain at Free_Text_Tack_1 minutes notice,,
,KS48,3,Until Free_Text_Tack_1,,
,KS48,4,Until further notice,,
,KS50,1,Readiness for sea,,
,KS50,2,Steam being a new notice for,,
,LT1,1,From ahead,,
,LT1,2,From astern,,
,LT1,3,From port,,
,LT1,4,From starboard,,
,LT1,5,Overhead,,
,LT1,6,To port,,
,LT1,7,To starboard,,
,LT3,1,Abandoned,,
,LT3,2,Cancelled,,
,LT3,3,Completed,,
,LT3,4,Postponed (until Free_Text_Tack_1),,
,LT3,5,To be repeated now (or at Free_Text_Tack_1).,,
,LT3,6,To be resumed now (or at Free_Text_Tack_1).,,
,LT3,7,To cease now (or at Free_Text_Tack_1).,,
,LT3,8,To commence now (or at Free_Text_Tack_1).,,
,LT4,1,Radar.,,
,LT4,2,VHF.,,
,LT4,3,VIS.,,
,LT4,4,UHF,,
,LT4,5,Free_Text_Tack_1 miles,,
,LT8,1,Completed,,
,LT8,2,To be carried out as a dummy run,,
,LT8,3,To be repeated,,
,LT8,4,To cease now (or at Free_Text_Tack_1 ).,,
,LT8,5,To commence now (or at Free_Text_Tack_1 ).,,
,LT10,1,Abandon target,,
,LT10,2,Pick up target,,
,LT10,3,Stream target sledge,,
,LT10,4,Transfer target to this or unit indicated,,
,LT10,5,Veer target,,
,LT11,1,AA battery,,
,LT11,2,Close range weapons,,
,LT11,3,Main battery,,
,LT11,4,Primary steering,,
,LT11,5,Searchlights,,
,LT11,6,Secondary battery,,
,LT11,7,Secondary steering,,
,LT11,8,Sirens/whistles,,
,LT11,9,Smoke-making,,
,LT11,10,Steering by main engines,,
,LT11,11,Guided missile battery,,
,MM1,1,AA,,
,MM1,2,Main,,
,MM1,3,Rocket,,
,MM1,4,Secondary,,
,MM4,1,Surface,,
,MM11,1,Hang fire,,
,MM11,2,Misfire,,
,MM11,3,Loaded gun,,
,MM11,4,Missile misfire,,
,MM11,5,Missile hang fire on launce,,
,MM11,6,Bad loading,,
,MM14,1,Range is Free_Text_Tack_1 thousands of yard,,
,MM14,2,Identified. Ready to observe,,
,MM14,3,"Identified. Am able to spot for you. Will pass reports on circuit or frequency
indicated",,
,MM14,4,Obscured,,
,MM24,1,Troop concentration,,
,MM24,2,Soft skinned vehicle,,
,MM24,3,Tanks in open ground,,
,MM24,4,Buildings,,
,MM24,5,Road/bridges,,
,MM24,6,Rail/locomotive,,
,MM24,7,Gun emplacements,,
,MU1,1,Break-lock,,
,MU1,2,Communications deception,,
,MU1,3,Communications jamming,,
,MU1,4,Decoys (mechanical reflectors),,
,MU1,5,Radar deception,,
,MU1,6,Radar jamming,,
,MU1,7,Unidentified,,
,MU1,8,Window/chaf,,
,MU3,1,Suspected of sending false (deceptive traffic),,
,MU3,2,Using our authenticators,,
,MU3,3,Using our call signs,,
,MU10,1,Approaching this unit or unit indicated,,
,MU10,2,Approaching under cover of a smoke screen,,
,MU10,3,Being reinforced,,
,MU10,4,Drawing ahead,,
,MU10,5,Dropping back,,
,MU10,6,Endeavouring to escape,,
,MU10,7,Gaining advantage,,
,MU10,8,In disorder,,
,MU10,9,Launching aircraf,,
,MU10,10,Leaving harbour,,
,MU10,11,Losing advantage,,
,MU10,12,Organizing SSM attack,,
,MU10,13,Organizing torpedo attack,,
,MU10,14,Putting landing force ashore,,
,MU10,15,Recovering aircraft,,
,MU10,16,Retiring,,
,MU10,17,Retreating,,
,MU10,18,Scattered,,
,MU10,19,Stili in sight,,
,MU10,20,Strongly supported,,
,MU10,21,Superior,,
,MU10,22,Threatening this unit or unit indicated,,
,MU10,23,Trailing this unit or unit indicated,,
,MU10,24,Using evasive steering,,
,MU10,25,Well protected,,
,MU10,26,Neutralized,,
,MU10,27,Destroyed,,
,MU10,28,Lured,,
,MU18,1,In ASW disposition around screened unit (s),,
,MU18,2,In AAW disposition around screened unit (s),,
,MU18,3,In ASW disposition with no screened unit (s),,
,MU18,4,In AAW disposition with no screened unit (s,,
,MU18,5,Surface action group,,
,MU23,1,Amplifying report,,
,MU24,1,TT,,
,MU24,2,XX,,
,MU24,3,YY,,
,MU24,4,QQ,,
,MU24,5,ZZ,,
,MU24,6,Position indicated (See Article 125c for meaning of position indicators),,
,MU29,1,Aircraft,,
,MU29,2,Submarine,,
,MU29,3,Surface unit,,
,MU29,4,Remotely Piloted Vehicle (RPV),,
,NB2,1,Crew members have become casualties and cannot operate shlp,,
,NB2,2,Crew should be evacuated by time indicated by accompanying time signal.,,
,NB2,3,No necessity for evacuation.,,
,NB2,4,Personnel heavily exposed. Can operate but will soon become casualties and should evacuate as soon as possible,,
,NB2,5,Some casualties should be transferred but general evacuation not required.,,
,NB3,1,Retrieve any floating objects,,
,NB3,2,Run any evaporators,,
,NB3,3,Wash down decks with salt water,,
,NB3,4,Eat fresh fish caught in the area,,
,NB3,5,Swim in the area,,
,NB3,6,Do any of the above items,,
,NB5,1,"Exposed personnel (weapons, flight deck crews)",,
,NB5,2,"Protected personnel (control spaces, communications, magazines, shelter stations).",,
,NB5,3,Machinery space crews,,
,NB5,4,Monitoring and decontamination crews,,
,NB10,1,Airburst,,
,NB10,2,Kilotons range,,
,NB10,3,Megaton range,,
,NB10,4,Subsurface burst,,
,NB10,5,Surface burst,,
,NB12,1,In kilotons is __,,
,NB12,2,In megatons is __,,
,PA8,1,Free_Text_Tack_1 Fathom,,
,PA8,2,Free_Text_Tack_1 Meters,,
,PA10,1,Sound fog signals.,,
,PA10,2,Stream fog buoy (at __ hundreds yards astern).,,
,PA13,1,Cannot be seen,,
,PA13,2,Too bright.,,
,PA13,3,Too dim,,
,PA14,1,Navigation.,,
,PA14,2,Overtaking.,,
,PA14,3,Red mast/obstruction.,,
,PA14,4,Shaded stern/blue stern,,
,PA14,5,Side.,,
,NEGAT PA14,1,Navigation.,,
,NEGAT PA14,2,Overtaking.,,
,NEGAT PA14,3,Red mast/obstruction.,,
,NEGAT PA14,4,Shaded stern/blue stern,,
,NEGAT PA14,5,Side.,,
,PA15,1,Masthead,,
,PA15,2,Side (Port/Starboard as indicated),,
,PA15,3,Stern,,
,PA15,4,Anchor,,
,PA15,5,Search,,
,PA15,6,Minesweeping (Green).,,
,PA15,7,Minesweeping Station Keeping,,
,PA15,8,Superstructure,,
,PA16,1,Mainmast,,
,PA16,2,Foremast,,
,PA16,3,Funnel (forward funnel if more than one),,
,PA16,4,Antenna,,
,PA19,1,Position ( ) latitude and longitude,,
,PA19,2,Unit indicated,,
,PA19,3,Datum __ (inferior to DESIG),,
,PA20,1,Geographic Reference,,
,PA20,2,Universal Transverse Mercator,,
,PA20,3,Cartesian Coordinate (X-Y) Grid,,
,PA22,1,Point of origin.,,
,PA22,2,Reference point indicated by numeral(s) or letters(s) following DESIG.,,
,PA22,3,Reference position of OTC or unit indicated.,,
,PA22,4,Rendezvous.,,
,PA22,5,Your position.,,
,PA22,6,Position of unit indicated,,
,PA22,7,Position of formation centre.,,
,PA22,8,Position of disposition centre.,,
,PA27,1,Bearings,,
,PA27,2,Consol,,
,PA27,3,Dead reckoning,,
,PA27,4,decca,,
,PA27,5,Direction Finder,,
,PA27,6,Loran,,
,PA27,7,Observation,,
,PA27,8,Omega,,
,PA27,9,Radar ranges and bearings,,
,PA27,10,Satellite,,
,PA27,11,Shoran,,
,PA27,12,Sins,,
,PA27,13,Soundings,,
,PA28,1,Cartesian Coordinate (X-Y) Grid,,
,PA28,2,Geographic Reference,,
,PA28,3,Latitude and longitude,,
,PA28,4,Military grid reference,,
,PA28,5,Universal Transverse Mercator,,
,PA28,6,Local Tactical Grid (LTG),,
,PA29,1,The reference position of the OTC now (or at _____),,
,PA29,2,Geographical position,,
,PA29,3,"Lettered position __ , previously issued. __",,
,PA34,1,Arrival,,
,PA34,2,Commencement of serial or event (number ___),,
,PA34,3,Commencement of flight operations,,
,PA34,4,Commencement of replenishment,,
,PA34,5,Completion of serial or event (number ___),,
,PA34,6,Completion of flight operations,,
,PA34,7,Completion of replenishment,,
,PA34,8,Departure,,
,PA34,9,Rejoining,,
,PA35,1,Sinuators at Free_Text_Tack_1,,
,PA35,2,Watches at time Free_Text_Tack_1,,
,PA35,3,"Zigzag clock at time Free_Text_Tack_1. If a zigzag diagram is in force, this signal is to be executed at the time a turn is due to be made",,
,PE1,1,This circuit or circuit indicated,,
,PE1,2,Frequency of Free_Text_Tack_1 MHz,,
,PE1,3,In accordance with Table E,,
,PE1,4,Spot No _,,
,PE7,1,This circuit or circuit indicated,,
,PE7,2,Frequency of __ MHz,,
,PE7,3,In accordance with Table E.,,
,PE7,4,Spot No ___,,
,PE9,1,Make __ sweeps on __ radar (type or frequency band from Table E).,,
,PE18,1,Suspected of sending false (deceptive) traffic,,
,PE18,2,Using our authentication system,,
,PE18,3,Using our call signs,,
,PE19,1,Break-lock,,
,PE19,2,Communications deception,,
,PE19,3,Communication jamming,,
,PE19,4,Decoys (mechanical reflectors),,
,PE19,5,Radar deception,,
,PE19,6,Radar jamming,,
,PE19,7,Unidentified,,
,PE19,8,Window/Chaff,,
,PE20,1,Can track intermittently,,
,PE20,2,Jamming only affects equipment type or frequency band indicated from Table E,,
,PE20,3,No difficulty in tracking targets,,
,PE20,4,Unable to lock on targets,,
,PE20,5,Unable to track targets,,
,PE27,1,Active electronic jamming,,
,PE27,2,Communications,,
,PE27,3,Homing beacon,,
,PE27,4,IFF,,
,PE27,5,Other equipment (from Table E),,
,PE27,6,Radar,,
,PE27,7,Sonar,,
,PE28,1,Communications,,
,PE28,2,Guided missile,,
,PE28,3,Jamming,,
,PE28,4,NavIgational,,
,PE28,5,Proximity fuse,,
,PE28,6,"Radar, airborne source",,
,PE28,7,"Radar, shipborne source",,
,PE28,8,"Radar, submarine source",,
,PE28,9,"Radar, submarine source",,
,PE28,10,Infra-red,,
,PE36,1,Deception,,
,PE36,2,Noise,,
,PE37,1,"Aircraft, few",,
,PE37,2,"Aircraft, many",,
,PE37,3,"ship,large",,
,PE37,4,"ship,small",,
,PE37,5,Submarine snorf,,
,PE37,6,Task group,,
,PL3,1,"Heaving line, my STBD side.",,
,PL3,2,"Heaving line, my PORT side.",,
,PL3,3,"High line/jackstay, my STBD side.",,
,PL3,4,"High line/jackstay, my PORT side.",,
,PL6,1,I will provide,,
,PL6,2,You provide,,
,PL10,1,STBD side Qn order of call signs),,
,PL10,2,PORT side Qn order of call signs),,
,PL12,1,Commence,,
,PL12,2,Prepare,,
,PL12,3,Resume,,
,PL12,4,Cease,,
,PL12,5,Ready,,
,PR2,1,ASW Commander,,
,PR2,2,ASW Sector Commander (sector may be designated by letters/numerals following DESIG),,
,PR2,3,FAAWC,,
,PR2,4,LAAWC,,
,PR2,5,OCE,,
,PR2,6,OCS,,
,PR2,7,OTC,,
,PR2,8,SAAWC (sector may be designated by letters/numeralsfollowing DESIG.,,
,PR2,9,Scene of Action Commander,,
,PR2,10,Screen Commander,,
,PR2,11,Search and AttaCk Unit Commander,,
,PR2,12,Surface Action Group Commander,,
,PR2,13,Blue Force Commander,,
,PR2,14,Orange Force Commande,,
,PR2,15,Div Commander,,
,PR2,16,Sub-Div Commande,,
,PR2,17,Boarding Commande,,
,PR2,18,CTF,,
,PR2,19,CTG,,
,PR2,20,CTU,,
,PR2,21,CTE,,
,PR2,22,On Scene Commander,,
,PR3,1,Acting Screen Commander designate is __,,
,PR3,2,Commander of unit___ is in____,,
,PR3,3,OCE is __ (in__),,
,PR3,4,OCS is __ (in __),,
,PR3,5,OTC is __ (in __),,
,PR3,6,Screen Commander is __ (in __),,
,PR10,1,Task,,
,PR10,2,Type,,
,PR11,1,Sequence numbers in order of call signs following Free_Text_Tack_1,,
,PR11,2,Composition of divisions/subdivision (sequence numbers following unit indicators) Free_Text_Tack_2,,
,PR11,3,Division commanders are to be (sequence numbers) Free_Text_Tack_3,,
,PR11,4,Subdivision commanders are to be ( sequence numbers) Free_Text_Tack_4,,
,PR12,1,Use,,
,PR13,1,Using support situation A,,
,PR13,2,Using support situation B,,
,PR13,3,Using support situation C,,
,PR14,1,I am assuming tactical command of this unit or unit indicated,,
,PR14,2,I have resumed tactical command of this unit or unit indicated,,
,PR16,1,And conduct the exercise,,
,PR16,2,And proceed as previously directed,,
,PR16,3,And proceed to port,,
,PR16,4,Of force (or ____) and manoeuvre as necessary for flying operations,,
,PR16,5,Of force (or _____) for manoeuvres,,
,PR16,6,Of operations,,
,PR19,1,NATPOL ALPHA - De-escalation.,,
,PR19,2,NATPOL BRAVO - Maintain Status Quo.,,
,PR19,3,NATPOL CHARLIE - Escalation.,,
,PT7,1,Crashed,,
,PT7,2,Engine failure,,
,PT7,3,Forced down/landing,,
,PT7,4,Make a slick for emergency landing,,
,PT7,5,On fire,,
,PT7,6,Overdue,,
,PT7,7,Recover aircraft in distress,,
,PT7,8,Rescue personnel. Abandon aircraft,,
,PT7,9,Rescue personnel. Recover aircraft,,
,PT7,10,Showing IFF distress,,
,PT7,11,Ditching,,
,PT10,A,Unhurt,,
,PT10,B,Slightly injured,,
,PT10,C,Seriously injured,,
,PT10,D,Dead,,
,PT11,1,ASuW.,,
,PT11,2,ASW,,
,PT11,3,Gunship.,,
,PT16,1,Coordinate flight operations with this unit or unit indicated,,
,PT16,2,Delay flight operations for __ minutes,,
,PT16,3,Independentry to launch or recover aircraf,,
,PT16,4,Postpone flight operations until __ .,,
,PT16,5,Resume,,
,PT17,1,Beanbag delivery,,
,PT17,2,HIFR (Helicopter In-Flight Refuelling,,
,PT17,3,Mail transfer (in sequence of units),,
,PT17,4,Personnel transfer,,
,PT17,5,VERTREP,,
,PT17,6,RRR (Rotors Running Refuelling),,
,PT17,7,RRRR (Rotors Running Refuelling and Reanning),,
,PT17,8,Training,,
,PT17,9,Special Forces,,
,PT17,10,Boarding/MIOPS/Anti piracy,,
,PT24,1,White,,
,PT24,2,Green,,
,PT24,3,Blue,,
,PT24,4,Green plus bright side lights,,
,PT26,1,Am ready to operate helicopters when wind conditions are suitable,,
,PT26,2,Am operating helicopters,,
,PT26,3,My flight operations have been delayed (about ten minutes).,,
,PT26,4,Flight operations suspended (a time signal indicates estimated time of resumption),,
,PT26,5,Have __ helicopters to launch (and __ to recover),,
,PT26,6,Have completed operating helicopters,,
,PT27,1,Alert ( Free_Text_Tack_1 minutes),,
,PT27,2,Airborne,,
,PT27,3,Down for routine maintenance,,
,PT27,4,Down for repair,,
,PT30,1,Damage,,
,PT30,2,Decontamination in progress,,
,PT30,3,Foul deck,,
,PT30,4,Lack of wind,,
,PT30,5,Motion of ship,,
,PT30,6,Weather,,
,PT30,7,Personnel,,
,PT35,1,Alert State __ (numerals following DESIG),,
,PT35,2,Stand down/release (until Free_Text_Tack_1).,,
,PT40,1,Fixed.,,
,PT40,2,Moving (course __ Speed ___).,,
,PT41,1,Antisubmarine,,
,PT41,2,Combat air,,
,PT41,3,Dawn and dusk,,
,PT41,4,Low,,
,PT41,5,Night,,
,PT41,6,Radar pick,,
,PT41,7,Rescue,,
,PT41,8,Target,,
,PT41,9,Target dawn and dusk,,
,PT41,10,Target night,,
,PT41,11,Barrier,,
,PT42,1,Communication link with separated forces,,
,PT42,2,Reconnaissance of enemy battle line,,
,PT42,3,Reconnaissance of enemy carrier,,
,PT42,4,Reconnaissance of enemy convoy,,
,PT42,5,Reconnaissance of enemy detached force,,
,PT42,6,Reconnaissance of enemy main force,,
,PT42,7,Special link,,
,PT42,8,Special line,,
,7L,1,Into grid position,,
,7L,2,In accordance with plan previously ordered.,,
,7M,1,Distraction,,
,7M,2,Confusion,,
,PU1,1,Fighter launched weapons,,
,PU1,2,Long range surface-to-air missiles,,
,PU1,3,Medium range surface-to-air missiles,,
,PU1,4,Close range surface-to-air missiles and/or guns,,
,PU1,5,Point defence weapons,,
,PU1,6,Jammers,,
,PU1,7,Helicopter launched weapons,,
,PU1,8,Close In Weapon System (CIWS),,
,PU5,1,Air launched missiles,,
,PU5,2,ASM carrying aircraft,,
,PU5,3,Free fall bombs,,
,PU5,4,Missile armed FPBs,,
,PU5,5,Nuclear,,
,PU5,6,Non nuclear,,
,PU5,7,Reconnaissance aircraf,,
,PU5,8,Rocket firing aircraft,,
,PU5,9,Ship launched missiles,,
,PU5,10,Submarine launched missiles,,
,PU5,11,Torpedo bombers,,
,PU5,12,Gunship,,
,PU5,13,ASW weapon carrying aircraft,,
,PU5,14,Fighter,,
,PU5,15,Helicopter,,
,PU6,1,High,,
,PU6,2,Medium,,
,PU6,3,Low,,
,PU6,4,Very low,,
,RA1,1,Air search (between __ and __ miles),,
,RA1,2,Surface search (between __ and__ miles),,
,RA1,3,Scan in elevation (between __ and __ degrees),,
,RA1,4,Recognition guard,,
,RA1,5,As in current operation order or operational plan,,
,RA4,1,"Aircraft, enemy",,
,RA4,2,"Aircraft, friendly",,
,RA4,3,"Aircraft, unidentified",,
,RA4,4,Land,,
,RA4,5,Radar beacon,,
,RA4,6,Snort or periscope,,
,RA4,7,Submarine,,
,RA4,8,"Surface craft, enemy",,
,RA4,9,"surface craft, friendly",,
,RA4,10,"Surface craft, unidentified",,
,RA6,1,Airborne,,
,RA6,2,At discretion,,
,RA6,3,Ship borne,,
,RA6,4,To challenge and identify target,,
,RA6,5,Using mode (and code __ ),,
,RP6,1,Identified as a parachute mine,,
,RP6,2,Believed to be a mine,,
,RP11,1,Drifting (in position Free_Text_Tack_1),,
,RP11,2,Exploded (in position Free_Text_Tack_1),,
,RP11,3,Just awash (in position Free_Text_Tack_1),,
,RP11,4,Of Free_Text_Tack_1 type,,
,RP11,5,Sinking slowly On position____),,
,RP12,1,Found,,
,RP12,2,Reported,,
,RP15,1,Active,,
,RP15,2,Automatic and are dangerous to friendly ships,,
,RP15,3,Safe,,
,RP18,1,Line number Free_Text_Tack_1 between positions Free_Text_Tack_2 and position Free_Text_Tack_3 .,,
,RP18,2,Corners of the area mined are indicated by positions Free_Text_Tack_1,,
,RP22,1,Employing the spread line method.,,
,RP22,2,In a continuous line. A single line is to be laid unless otherwise ordered,,
,RP22,3,"In groups (__ number of mines per group, each group __ hundreds of feet apart). A single line of mines is to be laid unless otherwise ordered.",,
,RP22,4,"In parallel lines (__ number of mines), lines __ yards apart.",,
,RP22,5,"Irregularly, some singly, some in groups (line of mines is to be __ long, in direction ___). A single line of mines is to be laid unless otherwise ordered.",,
,RP22,6,"Ships in column, laying from the rear ships.",,
,RP22,7,Ships in single line abreast.,,
,RP24,1,Arming delays are to be set at__ (date-time group).,,
,RP24,2,Commence mining. Plan may be indicated,,
,RP24,3,Jammed. All mine rails (or__ number) are jammed,,
,RP24,4,"Jettison all mines (Mines are to be made__) 
A. Active 
B. Safe",,
,RP24,5,Lay mines (or __ type from Table R) (from position or in area indicated) plan number may be added,,
