id,Grouper,Meaning,Tack_1,Tack_2,Tack_3,Tack_4,Free_Text_Tack_1,Free_Text_Tack_2,Free_Text_Tack_3,Free_Text_Tack_4,Free_Text_Tack_5,Free_Text_Tack_6,Table_Group,List_A,List_B,List_C,Free_Text_List,created_at
,FORM G DIV PORT 17,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 170 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G DIV PORT 18,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 180 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT ANS,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 5 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 1,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 10 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 2,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 20 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 3,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 30 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 4,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 40 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 5,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 50 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 6,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 60 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 7,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 70 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 8,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 80 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 9,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 90 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 10,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 100 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 11,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 110 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 12,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 120 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 13,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 130 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 14,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 140 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 15,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 150 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 16,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 160 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 17,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 170 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 18,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 180 degrees PORT from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD ANS,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 5 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 1,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 10 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 2,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 20 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 3,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 30 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 4,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 40 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 5,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 50 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 6,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 60 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 7,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 70 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 8,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 80 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 9,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 90 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 10,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 100 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 11,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 110 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 12,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 120 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 13,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 130 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 14,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 140 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 15,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 150 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 16,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 160 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 17,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 170 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 18,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 180 degrees STBD from the Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 5 degrees PORT from the Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 1 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 10 degrees PORT from the Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 2 DIV,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 20 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 3 DIV,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 30 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 4 DIV,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 40 degrees PORT fromTheir Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 5 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 50 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 6 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 60 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 7 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 70 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 8 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 80 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 9 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 90 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 10 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 100 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 11 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 110 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 12 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 120 degrees PORT fromTheir Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 13 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 130 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 14 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 140 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 15 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 150 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 16 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 160 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 17 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 170 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 18 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 180 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 5 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 1 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 10 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 2 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 20 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 3 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 30 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 4 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 40 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 5 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 50 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 6 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 60 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 7 DIV,DIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 70 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 8 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 80 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 9 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 90 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 10 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 100 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 11 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 110 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 12 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 120 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 13 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 130 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 14 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 140 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 15 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 150 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 16 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 160 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 17 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 170 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 18 DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 180 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 1 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 15 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 2 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 25 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 3 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 35 degrees PORT from Their Divisional line Guide or ship indicated at their present interval part and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 4 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 45 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 5 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 55 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 6 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 65 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 7 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 75 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 8 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 85 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 9 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 95 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 10 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 105 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 11 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 115 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 12 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 125 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 13 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 135 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 14 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 145 degrees PORT fromTheir Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 15 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 155 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 16 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 165 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV PORT 17 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 175 degrees PORT from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 1 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 15 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 2 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 25 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 3 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 35 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 4 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 45 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 5 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 55 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 6 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 65 degrees STBD from Their Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,FORM G SUBDIV STBD 7 ANS DIV,SUBDIVISIONAL LINE GUIDES (or guides of units indicated) are to form on the RELATIVE BEARING 75 degrees STBD fromTheir Divisional line Guide or ship indicated at their present interval apart and in their sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
